Wavelength 1,Absolute Irradiance 1,Wavelength 2,Absolute Irradiance 2,Wavelength 3,Absolute Irradiance 3
350.372,0.09,350.372,0.1,350.372,0.11
350.625,0.09,350.625,0.09,350.625,0.1
350.879,0.05,350.879,0.06,350.879,0.07
351.133,0.03,351.133,0.06,351.133,0.07
351.386,0.04,351.386,0.07,351.386,0.08
351.64,0.04,351.64,0.07,351.64,0.1
351.894,0.05,351.894,0.08,351.894,0.1
352.147,0.04,352.147,0.07,352.147,0.1
352.401,0.05,352.401,0.08,352.401,0.09
352.654,0.06,352.654,0.09,352.654,0.1
352.908,0.06,352.908,0.1,352.908,0.12
353.161,0.06,353.161,0.1,353.161,0.14
353.415,0.05,353.415,0.1,353.415,0.12
353.668,0.07,353.668,0.12,353.668,0.13
353.922,0.09,353.922,0.13,353.922,0.14
354.175,0.09,354.175,0.15,354.175,0.16
354.429,0.1,354.429,0.16,354.429,0.16
354.682,0.1,354.682,0.16,354.682,0.18
354.935,0.1,354.935,0.17,354.935,0.18
355.189,0.12,355.189,0.19,355.189,0.23
355.442,0.11,355.442,0.2,355.442,0.23
355.696,0.13,355.696,0.22,355.696,0.23
355.949,0.13,355.949,0.23,355.949,0.2
356.202,0.13,356.202,0.23,356.202,0.2
356.455,0.12,356.455,0.21,356.455,0.19
356.709,0.13,356.709,0.21,356.709,0.2
356.962,0.09,356.962,0.19,356.962,0.17
357.215,0.08,357.215,0.2,357.215,0.17
357.468,0.07,357.468,0.18,357.468,0.15
357.722,0.05,357.722,0.15,357.722,0.13
357.975,0.05,357.975,0.15,357.975,0.12
358.228,0.05,358.228,0.15,358.228,0.12
358.481,0.06,358.481,0.16,358.481,0.14
358.734,0.06,358.734,0.14,358.734,0.13
358.987,0.06,358.987,0.13,358.987,0.14
359.24,0.07,359.24,0.13,359.24,0.13
359.493,0.07,359.493,0.13,359.493,0.15
359.746,0.09,359.746,0.14,359.746,0.17
359.999,0.11,359.999,0.16,359.999,0.18
360.252,0.09,360.252,0.15,360.252,0.16
360.505,0.1,360.505,0.17,360.505,0.17
360.758,0.1,360.758,0.17,360.758,0.16
361.011,0.11,361.011,0.18,361.011,0.19
361.264,0.1,361.264,0.16,361.264,0.17
361.517,0.09,361.517,0.15,361.517,0.15
361.77,0.1,361.77,0.15,361.77,0.16
362.023,0.09,362.023,0.15,362.023,0.15
362.276,0.09,362.276,0.18,362.276,0.16
362.529,0.11,362.529,0.19,362.529,0.17
362.781,0.25,362.781,0.32,362.781,0.31
