Wavelength 1,Absolute Irradiance 1
583.665,
583.901,
584.137,
584.373,
584.609,
584.844,
585.08,
585.316,
585.552,
585.787,
586.023,
586.259,
586.494,
586.73,
586.966,
587.201,
587.437,
587.672,
587.908,
588.143,
588.379,
588.614,
588.85,
589.085,
589.321,
589.556,
589.792,
590.027,
590.262,
590.498,
590.733,
590.968,
591.204,
591.439,
591.674,
591.909,
592.145,
592.38,
592.615,
592.85,
593.085,
593.32,
593.556,
593.791,
594.026,
594.261,
594.496,
594.731,
594.966,
595.201,
595.436,
595.671,
595.906,
596.14,0
596.375,0.01
596.61,0.03
596.845,0.04
597.08,0.04
597.315,0.04
597.549,0.04
597.784,0.04
598.019,0.05
598.254,0.06
598.488,0.07
598.723,0.09
598.958,0.1
599.192,0.12
599.427,0.13
599.662,0.14
599.896,0.15
600.131,0.16
600.365,0.19
600.6,0.21
600.834,0.23
601.069,0.25
601.303,0.27
601.538,0.3
601.772,0.32
602.007,0.36
602.241,0.37
602.476,0.4
602.71,0.42
602.944,0.44
603.179,0.46
603.413,0.49
603.647,0.51
603.882,0.53
604.116,0.54
604.35,0.56
604.584,0.57
604.818,0.59
605.053,0.61
605.287,0.64
605.521,0.64
605.755,0.65
605.989,0.67
606.223,0.68
606.457,0.68
606.691,0.68
606.925,0.66
607.159,0.65
607.393,0.62
607.627,0.54
607.861,0.4
608.095,0.23
608.329,0.02
608.563,
608.797,
609.031,
609.265,
609.499,
609.732,
609.966,
610.2,
610.434,
610.667,
610.901,
611.135,
611.369,
611.602,
611.836,
612.069,
612.303,
612.537,
612.77,
613.004,
613.237,
613.471,
613.704,0.19
613.938,0.47
614.171,0.74
614.405,0.98
614.638,1.2
614.871,1.42
615.105,1.63
615.338,1.83
615.572,2.03
615.805,2.17
616.038,2.34
616.271,2.51
616.505,2.67
616.738,2.85
616.971,2.98
617.204,3.09
617.438,3.22
617.671,3.33
617.904,3.45
618.137,3.55
618.37,3.72
618.603,3.79
618.836,3.94
619.069,4.05
619.302,4.19
619.536,4.27
619.769,4.41
620.001,4.5
620.234,4.65
620.467,4.78
620.7,4.92
620.933,4.98
621.166,5.18
621.399,5.33
621.632,5.39
621.865,5.61
622.098,5.75
622.33,5.84
622.563,6.02
622.796,6.18
623.029,6.3
623.261,6.46
623.494,6.56
623.727,6.83
623.959,6.97
624.192,7.12
624.425,7.29
624.657,7.55
624.89,7.58
625.122,7.77
625.355,7.81
625.588,7.98
625.82,8.16
626.053,8.26
626.285,8.47
626.518,8.58
626.75,8.64
626.982,8.77
627.215,8.77
627.447,8.92
627.68,9.02
627.912,8.97
628.144,9.17
628.377,9.23
628.609,9.22
628.841,9.22
629.073,9.26
629.306,9.29
629.538,9.27
629.77,9.28
630.002,9.35
630.234,9.25
630.467,9.2
630.699,9.17
630.931,9.11
631.163,9.09
631.395,8.89
631.627,8.97
631.859,8.8
632.091,8.73
632.323,8.57
632.555,8.44
632.787,8.36
633.019,8.19
633.251,7.99
633.483,7.87
633.715,7.66
633.946,7.55
634.178,7.35
634.41,7.18
634.642,7
634.874,6.78
635.105,6.51
635.337,6.35
635.569,6.16
635.801,5.92
636.032,5.75
636.264,5.49
636.496,5.28
636.727,5.07
636.959,4.84
637.191,4.64
637.422,4.44
637.654,4.29
637.885,4.16
638.117,3.97
638.348,3.75
638.58,3.62
638.811,3.49
639.043,3.35
639.274,3.22
639.506,3.07
639.737,2.93
639.968,2.81
640.2,2.66
640.431,2.54
640.662,2.46
640.894,2.32
641.125,2.25
641.356,2.15
641.587,2.05
641.819,1.97
642.05,1.88
642.281,1.82
642.512,1.73
642.743,1.66
642.975,1.59
643.206,1.53
643.437,1.47
643.668,1.4
643.899,1.33
644.13,1.25
644.361,1.22
644.592,1.16
644.823,1.13
645.054,1.08
645.285,1.04
645.516,0.99
645.747,0.93
645.978,0.9
646.208,0.85
646.439,0.8
646.67,0.76
646.901,0.73
647.132,0.69
647.362,0.66
647.593,0.61
647.824,0.56
648.055,0.53
648.285,0.51
648.516,0.48
648.747,0.45
648.977,0.43
649.208,0.4
649.439,0.37
649.669,0.35
649.9,0.33
650.13,0.31
650.361,0.28
650.591,0.28
650.822,0.26
651.052,0.25
651.283,0.24
651.513,0.23
651.744,0.2
651.974,0.18
652.204,0.17
652.435,0.16
652.665,0.16
652.896,0.16
653.126,0.15
653.356,0.14
653.586,0.13
653.817,0.12
654.047,0.12
654.277,0.11
654.507,0.11
654.737,0.11
654.968,0.1
655.198,0.1
655.428,0.09
655.658,0.07
655.888,0.07
656.118,0.05
656.348,0.04
656.578,0.05
656.808,0.04
657.038,0.04
657.268,0.04
657.498,0.04
657.728,0.04
657.958,0.04
658.188,0.05
658.418,0.04
658.648,0.04
658.878,0.04
659.107,0.03
659.337,0.03
659.567,0.02
659.797,0.02
660.026,0.01
660.256,0.01
660.486,0.02
660.716,0.03
660.945,0.03
661.175,0.03
661.405,0.02
661.634,0.03
661.864,0.02
662.093,0.02
662.323,0.02
662.552,0.02
662.782,0.01
663.011,0
663.241,0.01
663.47,0
663.7,0.01
663.929,0.01
664.159,0.01
664.388,0.01
664.617,0.01
664.847,0.02
665.076,0.03
665.305,0.02
665.535,0.02
665.764,0.02
665.993,0.03
666.223,0.04
666.452,0.04
666.681,0.03
666.91,0.03
667.139,0.03
667.368,0.03
667.598,0.03
667.827,0.05
668.056,0.04
668.285,0.05
668.514,0.04
668.743,0.04
668.972,0.03
669.201,0.03
669.43,0.03
669.659,0.03
669.888,0.03
670.117,0.03
670.346,0.02
670.575,0.02
670.803,0.03
671.032,0.02
671.261,0.03
671.49,0.04
671.719,0.04
671.948,0.05
672.176,0.05
672.405,0.05
672.634,0.04
672.862,0.04
673.091,0.05
673.32,0.05
673.548,0.06
673.777,0.07
674.006,0.09
674.234,0.08
674.463,0.08
674.691,0.08
674.92,0.08
675.148,0.08
675.377,0.08
675.605,0.07
675.834,0.07
676.062,0.06
676.291,0.05
676.519,0.06
676.747,0.05
676.976,0.05
677.204,0.04
677.433,0.04
677.661,0.03
677.889,0.02
678.117,0.02
678.346,0.02
678.574,0.01
678.802,0
679.03,
679.258,
679.487,
679.715,0
679.943,
680.171,0.01
680.399,0.01
680.627,0.02
680.855,0.03
681.083,0.03
681.311,0.02
681.539,0.03
681.767,0.03
681.995,0.03
682.223,0.03
682.451,0.04
